id	name	group	category	preview_file
86	Basic_Jump	Fighting	AttackingwithWeapon	Basic_Jump.gif
87	Boxing_Practice	Fighting	Punching	Boxing_Practice.gif
88	Chest_Pound_Taunt	Fighting	Transitioning	Chest_Pound_Taunt.gif
89	Combat_Stance	Fighting	AttackingwithWeapon	Combat_Stance.gif
90	Counterstrike	Fighting	Punching	Counterstrike.gif
91	Double_Blade_Spin	Fighting	AttackingwithWeapon	Double_Blade_Spin.gif
92	Double_Combo_Attack	Fighting	AttackingwithWeapon	Double_Combo_Attack.gif
93	Dodge_and_Counter	Fighting	Punching	Dodge_and_Counter.gif
94	Flying_Fist_Kick	Fighting	Punching	Flying_Fist_Kick.gif
95	Gun_Hold_Left_Turn	Fighting	AttackingwithWeapon	Gun_Hold_Left_Turn.gif
96	Kung_Fu_Punch	Fighting	Punching	Kung_Fu_Punch.gif
97	Left_Slash	Fighting	AttackingwithWeapon	Left_Slash.gif
98	Run_and_Shoot	Fighting	AttackingwithWeapon	Run_and_Shoot.gif
99	Reaping_Swing	Fighting	Transitioning	Reaping_Swing.gif
100	Rightward_Spin	Fighting	Transitioning	Rightward_Spin.gif
101	Sword_Shout	BodyMovements	Acting	Sword_Shout.gif
102	Sword_Judgment	Fighting	AttackingwithWeapon	Sword_Judgment.gif
103	Simple_Kick	Fighting	AttackingwithWeapon	Simple_Kick.gif
104	Side_Shot	Fighting	AttackingwithWeapon	Side_Shot.gif
105	Triple_Combo_Attack	Fighting	AttackingwithWeapon	Triple_Combo_Attack.gif
106	Confident_Walk	WalkAndRun	Walking	Confident_Walk.gif
107	Confident_Strut	WalkAndRun	Walking	Confident_Strut.gif
108	Flirty_Strut	WalkAndRun	Walking	Flirty_Strut.gif
109	Groovy_Walk	BodyMovements	Acting	Groovy_Walk.gif
110	Hello_Run	WalkAndRun	Running	Hello_Run.gif
111	Injured_Walk	WalkAndRun	Walking	Injured_Walk.gif
112	Monster_Walk	WalkAndRun	Walking	Monster_Walk.gif
113	Mummy_Stagger	BodyMovements	Acting	Mummy_Stagger.gif
114	Proud_Strut	WalkAndRun	Walking	Proud_Strut.gif
115	Quick_Walk	WalkAndRun	Walking	Quick_Walk.gif
116	Run_to_Walk_Transition	WalkAndRun	Walking	Run_to_Walk_Transition.gif
117	Red_Carpet_Walk	WalkAndRun	Walking	Red_Carpet_Walk.gif
118	Skip_Forward	WalkAndRun	Walking	Skip_Forward.gif
119	Slow_Orc_Walk	WalkAndRun	Walking	Slow_Orc_Walk.gif
120	Touch_and_Run	WalkAndRun	Running	Touch_and_Run.gif
121	Thoughtful_Walk	WalkAndRun	Walking	Thoughtful_Walk.gif
122	Texting_Walk	WalkAndRun	Walking	Texting_Walk.gif
123	Unsteady_Walk	WalkAndRun	Walking	Unsteady_Walk.gif
124	Walking_with_Phone	WalkAndRun	Walking	Walking_with_Phone.gif
125	Charged_Spell_Cast	Fighting	CastingSpell	Charged_Spell_Cast.gif
126	Charged_Spell_Cast_1	Fighting	CastingSpell	Charged_Spell_Cast_1.gif
127	Charged_Ground_Slam	Fighting	CastingSpell	Charged_Ground_Slam.gif
128	Heavy_Hammer_Swing	Fighting	AttackingwithWeapon	Heavy_Hammer_Swing.gif
129	mage_soell_cast	Fighting	CastingSpell	mage_soell_cast.gif
130	mage_soell_cast_1	Fighting	CastingSpell	mage_soell_cast_1.gif
131	mage_soell_cast_2	Fighting	CastingSpell	mage_soell_cast_2.gif
132	mage_soell_cast_3	Fighting	CastingSpell	mage_soell_cast_3.gif
133	mage_soell_cast_4	Fighting	CastingSpell	mage_soell_cast_4.gif
134	mage_soell_cast_5	Fighting	CastingSpell	mage_soell_cast_5.gif
135	mage_soell_cast_6	Fighting	CastingSpell	mage_soell_cast_6.gif
136	mage_soell_cast_7	Fighting	CastingSpell	mage_soell_cast_7.gif
137	mage_soell_cast_8	Fighting	CastingSpell	mage_soell_cast_8.gif
138	Block1	Fighting	Blocking	Block1.gif
139	Block2	Fighting	Blocking	Block2.gif
140	Block3	Fighting	Blocking	Block3.gif
141	Block4	Fighting	Blocking	Block4.gif
142	Block5	Fighting	Blocking	Block5.gif
143	Block6	Fighting	Blocking	Block6.gif
144	Block8	Fighting	Blocking	Block8.gif
145	Block9	Fighting	Blocking	Block9.gif
146	Block10	Fighting	Blocking	Block10.gif
147	Sword_Parry	Fighting	Blocking	Sword_Parry.gif
148	Sword_Parry_Backward	Fighting	Blocking	Sword_Parry_Backward.gif
149	Two_Handed_Parry	Fighting	Blocking	Two_Handed_Parry.gif
150	Hit_Reaction_with_Bow	Fighting	Blocking	Hit_Reaction_with_Bow.gif
151	Sword_Parry_Backward_1	Fighting	Blocking	Sword_Parry_Backward_1.gif
152	Sword_Parry_Backward_2	Fighting	Blocking	Sword_Parry_Backward_2.gif
153	Sword_Parry_Backward_3	Fighting	Blocking	Sword_Parry_Backward_3.gif
154	Sword_Parry_Backward_4	Fighting	Blocking	Sword_Parry_Backward_4.gif
155	Sword_Parry_Backward_5	Fighting	Blocking	Sword_Parry_Backward_5.gif
156	Stand_Dodge	Fighting	Transitioning	Stand_Dodge.gif
157	Stand_Dodge_1	Fighting	Transitioning	Stand_Dodge_1.gif
158	Roll_Dodge	Fighting	Transitioning	Roll_Dodge.gif
159	Roll_Dodge_1	Fighting	Transitioning	Roll_Dodge_1.gif
160	Roll_Dodge_2	Fighting	Transitioning	Roll_Dodge_2.gif
161	Roll_Dodge_3	Fighting	Transitioning	Roll_Dodge_3.gif
162	Stand_Dodge_2	Fighting	Transitioning	Stand_Dodge_2.gif
163	Roll_Dodge_4	Fighting	Transitioning	Roll_Dodge_4.gif
164	Stand_Dodge_3	Fighting	Transitioning	Stand_Dodge_3.gif
165	Kneeling_Reload	Fighting	Transitioning	Kneeling_Reload.gif
166	Running_Reload	Fighting	Transitioning	Running_Reload.gif
167	Slow_Walk_Reload	Fighting	Transitioning	Slow_Walk_Reload.gif
168	Prone_Reload	Fighting	Transitioning	Prone_Reload.gif
169	Forward_Reload_Subtle	Fighting	Transitioning	Forward_Reload_Subtle.gif
170	Standing_Reload	Fighting	Transitioning	Standing_Reload.gif
171	Hit_Reaction_to_Waist	Fighting	Transitioning	Hit_Reaction_to_Waist.gif
172	Electrocution_Reaction	Fighting	GettingHit	Electrocution_Reaction.gif
173	Slap_Reaction	Fighting	GettingHit	Slap_Reaction.gif
174	Face_Punch_Reaction	Fighting	GettingHit	Face_Punch_Reaction.gif
175	Face_Punch_Reaction_1	Fighting	GettingHit	Face_Punch_Reaction_1.gif
176	Face_Punch_Reaction_2	Fighting	GettingHit	Face_Punch_Reaction_2.gif
177	Gunshot_Reaction	Fighting	GettingHit	Gunshot_Reaction.gif
178	Hit_Reaction	Fighting	GettingHit	Hit_Reaction.gif
179	Hit_Reaction_1	Fighting	GettingHit	Hit_Reaction_1.gif
180	Shot_in_the_Back_and_Fall	Fighting	GettingHit	Shot_in_the_Back_and_Fall.gif
181	Electrocuted_Fall	Fighting	Dying	Electrocuted_Fall.gif
182	Shot_and_Blown_Back	Fighting	Dying	Shot_and_Blown_Back.gif
183	Shot_and_Fall_Backward	Fighting	Dying	Shot_and_Fall_Backward.gif
184	Shot_and_Fall_Forward	Fighting	Dying	Shot_and_Fall_Forward.gif
185	Shot_and_Slow_Fall_Backward	Fighting	Dying	Shot_and_Slow_Fall_Backward.gif
186	Strangled_and_Fall_Forward	Fighting	Dying	Strangled_and_Fall_Forward.gif
187	Knock_Down	Fighting	Dying	Knock_Down.gif
188	Fall_Dead_from_Abdominal_Injury	Fighting	Dying	Fall_Dead_from_Abdominal_Injury.gif
189	dying_backwards	Fighting	Dying	dying_backwards.gif
190	Knock_Down_1	Fighting	Dying	Knock_Down_1.gif
191	Left_Jab_from_Guard	Fighting	Punching	Left_Jab_from_Guard.gif
192	Right_Jab_from_Guard	Fighting	Punching	Right_Jab_from_Guard.gif
193	Left_Hook_from_Guard	Fighting	Punching	Left_Hook_from_Guard.gif
194	Right_Uppercut_from_Guard	Fighting	Punching	Right_Uppercut_from_Guard.gif
195	Right_Upper_Hook_from_Guard	Fighting	Punching	Right_Upper_Hook_from_Guard.gif
196	Left_Uppercut_from_Guard	Fighting	Punching	Left_Uppercut_from_Guard.gif
197	Left_Short_Hook_from_Guard	Fighting	Punching	Left_Short_Hook_from_Guard.gif
198	Punch_Combo	Fighting	Punching	Punch_Combo.gif
199	Weapon_Combo	Fighting	Punching	Weapon_Combo.gif
200	Punch_Combo_1	Fighting	Punching	Punch_Combo_1.gif
201	Punch_Combo_2	Fighting	Punching	Punch_Combo_2.gif
202	Weapon_Combo_1	Fighting	Punching	Weapon_Combo_1.gif
203	Punch_Combo_3	Fighting	Punching	Punch_Combo_3.gif
204	Punch_Combo_4	Fighting	Punching	Punch_Combo_4.gif
205	Punch_Combo_5	Fighting	Punching	Punch_Combo_5.gif
206	Spartan_Kick	Fighting	Punching	Spartan_Kick.gif
207	Roundhouse_Kick	Fighting	Punching	Roundhouse_Kick.gif
208	Lunge_Roundhouse_Kick	Fighting	Punching	Lunge_Roundhouse_Kick.gif
209	Boxing_Guard_Right_Straight_Kick	Fighting	Punching	Boxing_Guard_Right_Straight_Kick.gif
210	Boxing_Guard_Prep_Straight_Punch	Fighting	Punching	Boxing_Guard_Prep_Straight_Punch.gif
211	Boxing_Guard_Step_Knee_Strike	Fighting	Punching	Boxing_Guard_Step_Knee_Strike.gif
212	Elbow_Strike	Fighting	Punching	Elbow_Strike.gif
213	Leg_Sweep	Fighting	Punching	Leg_Sweep.gif
214	Punch_Forward_with_Both_Fists	Fighting	Punching	Punch_Forward_with_Both_Fists.gif
215	High_Kick	Fighting	Punching	High_Kick.gif
216	Lunge_Spin_Kick	Fighting	Punching	Lunge_Spin_Kick.gif
217	Sweeping_Kick	Fighting	Punching	Sweeping_Kick.gif
218	Step_in_High_Kick	Fighting	Punching	Step_in_High_Kick.gif
219	Right_Hand_Sword_Slash	Fighting	Punching	Right_Hand_Sword_Slash.gif
220	Shield_Push_Left	Fighting	Punching	Shield_Push_Left.gif
221	Charged_Upward_Slash	Fighting	Punching	Charged_Upward_Slash.gif
222	Draw_and_Shoot_from_Back	Fighting	AttackingwithWeapon	Draw_and_Shoot_from_Back.gif
223	Draw_and_Shoot_from_Back_1	Fighting	AttackingwithWeapon	Draw_and_Shoot_from_Back_1.gif
224	Archery_Shot	Fighting	AttackingwithWeapon	Archery_Shot.gif
225	Archery_Shot_1	Fighting	AttackingwithWeapon	Archery_Shot_1.gif
226	Archery_Shot_2	Fighting	AttackingwithWeapon	Archery_Shot_2.gif
227	Archery_Shot_3	Fighting	AttackingwithWeapon	Archery_Shot_3.gif
228	Walk_Forward_with_Bow_Aimed	Fighting	AttackingwithWeapon	Walk_Forward_with_Bow_Aimed.gif
229	Draw_and_Shoot_from_Back_2	Fighting	AttackingwithWeapon	Draw_and_Shoot_from_Back_2.gif
230	Walk_Backward_with_Bow_Aimed	Fighting	AttackingwithWeapon	Walk_Backward_with_Bow_Aimed.gif
231	Archery_Aim_with_Lateral_Scan	Fighting	AttackingwithWeapon	Archery_Aim_with_Lateral_Scan.gif
232	Cowboy_Quick_Draw_Shooting	Fighting	AttackingwithWeapon	Cowboy_Quick_Draw_Shooting.gif
233	Walk_Backward_While_Shooting	Fighting	AttackingwithWeapon	Walk_Backward_While_Shooting.gif
234	Walk_Forward_While_Shooting	Fighting	AttackingwithWeapon	Walk_Forward_While_Shooting.gif
235	Forward_Roll_and_Fire	Fighting	AttackingwithWeapon	Forward_Roll_and_Fire.gif
236	Draw_and_Shoot_Left	Fighting	AttackingwithWeapon	Draw_and_Shoot_Left.gif
237	Charged_Axe_Chop	Fighting	AttackingwithWeapon	Charged_Axe_Chop.gif
238	Axe_Spin_Attack	Fighting	AttackingwithWeapon	Axe_Spin_Attack.gif
239	Crouch_Pull_and_Throw	Fighting	AttackingwithWeapon	Crouch_Pull_and_Throw.gif
240	Thrust_Slash	Fighting	AttackingwithWeapon	Thrust_Slash.gif
241	Weapon_Combo_2	Fighting	AttackingwithWeapon	Weapon_Combo_2.gif
242	Charged_Slash	Fighting	AttackingwithWeapon	Charged_Slash.gif
243	Idle_3	DailyActions	Idle	Idle_3.gif
244	Idle_4	DailyActions	Idle	Idle_4.gif
245	Idle_5	DailyActions	Idle	Idle_5.gif
246	Idle_6	DailyActions	Idle	Idle_6.gif
247	Idle_7	DailyActions	Idle	Idle_7.gif
248	Idle_8	DailyActions	Idle	Idle_8.gif
249	Idle_9	DailyActions	Idle	Idle_9.gif
250	Idle_10	DailyActions	Idle	Idle_10.gif
251	Idle_11	DailyActions	Idle	Idle_11.gif
252	Idle_12	DailyActions	Idle	Idle_12.gif
253	Idle_13	DailyActions	Idle	Idle_13.gif
254	Idle_14	DailyActions	Idle	Idle_14.gif
255	Angry_Ground_Stomp	DailyActions	Idle	Angry_Ground_Stomp.gif
256	Angry_Ground_Stomp_1	DailyActions	Idle	Angry_Ground_Stomp_1.gif
257	Angry_Ground_Stomp_2	DailyActions	Idle	Angry_Ground_Stomp_2.gif
258	CrouchLookAroundBow	DailyActions	Idle	CrouchLookAroundBow.gif
259	Step_Forward_and_Push	DailyActions	Pushing	Step_Forward_and_Push.gif
260	Push_Forward_and_Stop	DailyActions	Pushing	Push_Forward_and_Stop.gif
261	Push_and_Walk_Forward	DailyActions	Pushing	Push_and_Walk_Forward.gif
262	Crouch_and_Push_Forward	DailyActions	Pushing	Crouch_and_Push_Forward.gif
263	Sleep_on_Desk	DailyActions	Sleeping	Sleep_on_Desk.gif
264	Cough_While_Sleeping	DailyActions	Sleeping	Cough_While_Sleeping.gif
265	Groan_Holding_Stomach_in_Sleep	DailyActions	Sleeping	Groan_Holding_Stomach_in_Sleep.gif
266	Lie_Down_Hands_Spread	DailyActions	Sleeping	Lie_Down_Hands_Spread.gif
267	Sleep_Normally	DailyActions	Sleeping	Sleep_Normally.gif
268	Sit_and_Doze_Off	DailyActions	Sleeping	Sit_and_Doze_Off.gif
269	sleep	DailyActions	Sleeping	sleep.gif
270	Toss_and_Turn	DailyActions	Sleeping	Toss_and_Turn.gif
271	Wake_Up_and_Look_Up	DailyActions	Sleeping	Wake_Up_and_Look_Up.gif
272	Lie_on_Chair_Sunbathe_and_Sleep	DailyActions	Sleeping	Lie_on_Chair_Sunbathe_and_Sleep.gif
273	Male_Run_Forward_Pick_Up_Left	DailyActions	PickingUpItem	Male_Run_Forward_Pick_Up_Left.gif
274	Female_Crouch_Pick_Up_Place_Side	DailyActions	PickingUpItem	Female_Crouch_Pick_Up_Place_Side.gif
275	Female_Run_Forward_Pick_Up_Right	DailyActions	PickingUpItem	Female_Run_Forward_Pick_Up_Right.gif
276	Male_Bend_Over_Pick_Up	DailyActions	PickingUpItem	Male_Bend_Over_Pick_Up.gif
277	Female_Crouch_Pick_Fruit_Basket_Stand	DailyActions	PickingUpItem	Female_Crouch_Pick_Fruit_Basket_Stand.gif
278	Female_Stand_Pick_Fruit_Basket	DailyActions	PickingUpItem	Female_Stand_Pick_Fruit_Basket.gif
279	Female_Crouch_Pick_Gun_Point_Forward	DailyActions	PickingUpItem	Female_Crouch_Pick_Gun_Point_Forward.gif
280	Female_Crouch_Pick_Throw_Forward	DailyActions	PickingUpItem	Female_Crouch_Pick_Throw_Forward.gif
281	Female_Bend_Over_Pick_Up_Inspect	DailyActions	PickingUpItem	Female_Bend_Over_Pick_Up_Inspect.gif
282	Female_Walk_Pick_Put_In_Pocket	DailyActions	PickingUpItem	Female_Walk_Pick_Put_In_Pocket.gif
283	Pull_Radish	DailyActions	PickingUpItem	Pull_Radish.gif
284	Collect_Object	DailyActions	PickingUpItem	Collect_Object.gif
285	open_door	DailyActions	Interacting	open_door.gif
286	open_door_1	DailyActions	Interacting	open_door_1.gif
287	open_door_2	DailyActions	Interacting	open_door_2.gif
288	open_door_3	DailyActions	Interacting	open_door_3.gif
289	open_door_4	DailyActions	Interacting	open_door_4.gif
290	Wave_One_Hand	DailyActions	Interacting	Wave_One_Hand.gif
291	Wave_for_Help	DailyActions	Interacting	Wave_for_Help.gif
292	Gesture_with_Hand_on_Gun	DailyActions	Interacting	Gesture_with_Hand_on_Gun.gif
293	Wave_for_Help_1	DailyActions	Interacting	Wave_for_Help_1.gif
294	Wave_for_Help_2	DailyActions	Interacting	Wave_for_Help_2.gif
295	Wave_for_Help_3	DailyActions	Interacting	Wave_for_Help_3.gif
296	Wave_for_Help_4	DailyActions	Interacting	Wave_for_Help_4.gif
297	Personalized_Gesture	DailyActions	Interacting	Personalized_Gesture.gif
298	Cheer_with_Both_Hands_Up	DailyActions	Interacting	Cheer_with_Both_Hands_Up.gif
299	Stand_Clap_and_Sit_Down	DailyActions	Interacting	Stand_Clap_and_Sit_Down.gif
